"Immune_cells" "Inflammation" "Neutrophils" "Proliferation" "Th1" "Th17" "Patient" "Perturbation" "Apoptosis"
"210" 1 1 1 1 1 1 "GSM1656066" "IL22R_OFF" 0
"211" 1 1 1 1 1 1 "GSM1656066" "IL1R1_OFF" 0
"212" 1 1 1 1 1 1 "GSM1656066" "IFNGR_OFF" 0
"213" 1 1 1 1 1 1 "GSM1656066" "IFNAR_OFF" 0
"214" 1 1 1 0 1 0 "GSM1656066" "TNFRSF1A_OFF" 0
"215" 1 1 1 1 1 1 "GSM1656066" "IL6R_OFF" 0
"216" 1 1 1 1 1 1 "GSM1656066" "IL36R_OFF" 0
"217" 1 1 1 0.001 1 0.001 "GSM1315612" "IL17R_OFF" 0
"218" 1 1 1 1 1 1 "GSM1315612" "IL22R_OFF" 0
"219" 1 1 1 1 1 1 "GSM1315612" "IL1R1_OFF" 0
"220" 1 1 1 1 1 1 "GSM1315612" "IFNGR_OFF" 0
"221" 1 1 1 1 1 1 "GSM1315612" "IFNAR_OFF" 0
"222" 1 1 1 0 1 0 "GSM1315612" "TNFRSF1A_OFF" 0
"223" 1 1 1 1 1 1 "GSM1315612" "IL6R_OFF" 0
"224" 1 1 1 1 1 1 "GSM1315612" "IL36R_OFF" 0
"225" 1 0.877 1 0 0.814 0 "GSM2211693" "IL17R_OFF" 0
"226" 1 0.969 1 0.499 0.77 0.137 "GSM2211693" "IL22R_OFF" 0
"227" 1 0.963 1 0.477 0.777 0.135 "GSM2211693" "IL1R1_OFF" 0
"228" 1 0.96 1 0.473 0.787 0.142 "GSM2211693" "IFNGR_OFF" 0
"229" 1 0.966 1 0.484 0.777 0.144 "GSM2211693" "IFNAR_OFF" 0
"230" 1 0.967 1 0 0.788 0 "GSM2211693" "TNFRSF1A_OFF" 0
"231" 1 0.975 1 0.465 0.784 0.13 "GSM2211693" "IL6R_OFF" 0
"232" 1 0.966 1 0.484 0.777 0.144 "GSM2211693" "IL36R_OFF" 0
"233" 1 1 1 0 1 0 "GSM1930393" "IL17R_OFF" 0
"234" 1 1 1 0.998 1 0.999 "GSM1930393" "IL22R_OFF" 0
"235" 1 1 1 0.998 0.998 0.998 "GSM1930393" "IL1R1_OFF" 0
"236" 1 1 1 0.997 1 0.997 "GSM1930393" "IFNGR_OFF" 0
"237" 1 1 1 0.998 0.998 0.998 "GSM1930393" "IFNAR_OFF" 0
"238" 1 1 1 0 0.998 0 "GSM1930393" "TNFRSF1A_OFF" 0
"239" 1 1 1 0.999 0.999 0.999 "GSM1930393" "IL6R_OFF" 0
"240" 1 1 1 0.998 0.998 0.998 "GSM1930393" "IL36R_OFF" 0
"241" 1 1 1 0 0.997 0 "GSM1930400" "IL17R_OFF" 0
"242" 1 1 1 0.838 0.995 0.839 "GSM1930400" "IL22R_OFF" 0
"243" 1 1 1 0.814 0.99 0.813 "GSM1930400" "IL1R1_OFF" 0
"244" 1 1 1 0.816 0.991 0.817 "GSM1930400" "IFNGR_OFF" 0
"245" 1 1 1 0.828 0.989 0.824 "GSM1930400" "IFNAR_OFF" 0
"246" 1 1 1 0 0.991 0 "GSM1930400" "TNFRSF1A_OFF" 0
"247" 1 1 1 0.833 0.995 0.834 "GSM1930400" "IL6R_OFF" 0
"248" 1 1 1 0.828 0.989 0.824 "GSM1930400" "IL36R_OFF" 0
"249" 1 1 1 0 0.875 0 "GSM1315692" "IL17R_OFF" 0
"250" 1 1 1 0.986 0.885 0.847 "GSM1315692" "IL22R_OFF" 0
"251" 1 1 1 0.99 0.887 0.843 "GSM1315692" "IL1R1_OFF" 0
"252" 1 1 1 0.992 0.886 0.871 "GSM1315692" "IFNGR_OFF" 0
"253" 1 1 1 0.991 0.871 0.837 "GSM1315692" "IFNAR_OFF" 0
"254" 1 1 1 0 0.866 0 "GSM1315692" "TNFRSF1A_OFF" 0
"255" 1 1 1 0.986 0.882 0.846 "GSM1315692" "IL6R_OFF" 0
"256" 1 1 1 0.991 0.871 0.837 "GSM1315692" "IL36R_OFF" 0
"257" 1 1 1 0.018 1 0.018 "GSM1163030" "IL17R_OFF" 0
"258" 1 1 1 0.99 1 1 "GSM1163030" "IL22R_OFF" 0
"259" 1 1 1 0.989 1 1 "GSM1163030" "IL1R1_OFF" 0
"260" 1 1 1 0.988 1 1 "GSM1163030" "IFNGR_OFF" 0
"261" 1 1 1 0.988 1 1 "GSM1163030" "IFNAR_OFF" 0
"262" 1 1 1 0 1 0 "GSM1163030" "TNFRSF1A_OFF" 0
"263" 1 1 1 0.993 1 1 "GSM1163030" "IL6R_OFF" 0
"264" 1 1 1 0.988 1 1 "GSM1163030" "IL36R_OFF" 0
"265" 1 1 1 0.001 1 0.001 "GSM1315701" "IL17R_OFF" 0.015
"266" 1 1 1 0.928 1 0.925 "GSM1315701" "IL22R_OFF" 0.013
"267" 1 1 1 0.93 1 0.929 "GSM1315701" "IL1R1_OFF" 0.013
"268" 1 1 1 0.946992 1 0.945 "GSM1315701" "IFNGR_OFF" 0.01
"269" 1 1 1 0.932 1 0.931 "GSM1315701" "IFNAR_OFF" 0.009
"270" 1 1 1 0 1 0 "GSM1315701" "TNFRSF1A_OFF" 0.012
"271" 1 1 1 0.934 1 0.933 "GSM1315701" "IL6R_OFF" 0.012
"272" 1 1 1 0.932 1 0.931 "GSM1315701" "IL36R_OFF" 0.009
"273" 1 1 0.985 0.035 1 0.037 "GSM3293912" "IL17R_OFF" 0
"274" 1 1 0.995 0.729 1 0.715 "GSM3293912" "IL22R_OFF" 0
"275" 1 1 0.992 0.743338 0.999 0.736 "GSM3293912" "IL1R1_OFF" 0
"276" 1 1 0.98 0.742 1 0.733 "GSM3293912" "IFNGR_OFF" 0
"277" 1 1 0.994 0.742 1 0.729 "GSM3293912" "IFNAR_OFF" 0
"278" 1 1 0.978 0 1 0 "GSM3293912" "TNFRSF1A_OFF" 0
"279" 1 1 0.996 0.724 1 0.715 "GSM3293912" "IL6R_OFF" 0
"280" 1 1 0.994 0.742 1 0.729 "GSM3293912" "IL36R_OFF" 0
"281" 1 1 1 0 1 0 "GSM1023439" "IL17R_OFF" 0
"282" 1 1 1 0.77 1 0.742 "GSM1023439" "IL22R_OFF" 0
"283" 1 1 1 0.762 1 0.74 "GSM1023439" "IL1R1_OFF" 0
"284" 1 1 1 0.756 1 0.737 "GSM1023439" "IFNGR_OFF" 0
"285" 1 1 1 0.784 1 0.753 "GSM1023439" "IFNAR_OFF" 0
"286" 1 1 1 0 1 0 "GSM1023439" "TNFRSF1A_OFF" 0
"287" 1 1 1 0.758 1 0.734 "GSM1023439" "IL6R_OFF" 0
"288" 1 1 1 0.784 1 0.753 "GSM1023439" "IL36R_OFF" 0
"289" 1 1 1 0 1 0 "GSM1163022" "IL17R_OFF" 0
"290" 1 1 1 0.982 1 0.981247 "GSM1163022" "IL22R_OFF" 0
"291" 1 1 1 0.976 1 0.978 "GSM1163022" "IL1R1_OFF" 0
