	GSM1023434	GSM1023435	GSM1023436	GSM1023437	GSM1023438	GSM1023439
ENSG00000100395.15	5.1146429183038	7.13396005565636	5.44103789401135	3.86060338377745	7.04027212164324	9.51712036697037
ENSG00000235513.2	2.82651319169421	3.34404377608892	2.34953909059581	1.44772626891654	2.30629603984865	1.50270321583743
ENSG00000100401.19	10.0946899703365	15.8284738734876	22.1351314324553	10.9785908726171	19.7855923418594	31.306316996613
ENSG00000100403.12	6.72979331355763	12.4844300973986	11.6240355008424	5.308329652694	7.16165612374053	14.0252300144826
ENSG00000167074.15	20.9969551382998	37.3418221663263	46.7434619076429	16.1662766695681	19.4214403355676	24.6693777933311
ENSG00000183864.5	27.322960853044	23.9656470619706	33.3881870768878	17.9759345057138	26.5830964593081	34.4369486962743
ENSG00000100410.8	2.2881297266096	3.23257565021929	3.09149880341554	2.29223325911786	4.4912080776	4.00720857556647
ENSG00000100412.16	3.36489665677882	4.57019316065486	2.8441788991423	2.53352097060395	5.21951209018378	7.13784027522777
ENSG00000100413.17	2.5573214591519	5.68487441935116	4.69907818119162	2.53352097060395	4.00567206921081	4.38288437952583
ENSG00000100417.12	1.21136279644037	5.90781067109042	3.70979856409865	2.05094554763177	2.06352803565405	4.38288437952583
